RegionID,RegionName,City,Region,State,Metro,CountyName,SizeRank,2019-10
97558,94103,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,943,1219900
58656,2142,Cambridge,Northeast,MA,Boston-Cambridge-Newton,Middlesex County,7151,1216500
97703,94403,San Mateo,West,CA,San Francisco-Oakland-Hayward,San Mateo County,859,1206900
96029,90048,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1830,1205300
96047,90066,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,100,1204000
96586,92014,Del Mar,West,CA,San Diego-Carlsbad,San Diego County,4546,1200200
97926,95014,Cupertino,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,351,1194700
97521,94030,Millbrae,West,CA,San Francisco-Oakland-Hayward,San Mateo County,3529,1190700
97839,94705,Berkeley,West,CA,San Francisco-Oakland-Hayward,Alameda County,4716,1188100
97551,94089,Sunnyvale,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3664,1184400
96045,90064,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2214,1173800
98853,96712,Haleiwa,West,HI,Urban Honolulu,Honolulu County,6433,1163200
97841,94707,Berkeley,West,CA,San Francisco-Oakland-Hayward,Alameda County,5203,1160300
96087,90211,Beverly Hills,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,5935,1154800
97557,94102,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,694,1154000
97548,94086,Sunnyvale,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,435,1146700
96975,92657,Newport Beach,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,5652,1145400
418163,89158,Las Vegas,West,NV,Las Vegas-Henderson-Paradise,Clark County,8673,1143500
97938,95032,Los Gatos,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2765,1140500
97535,94061,Redwood City,West,CA,San Francisco-Oakland-Hayward,San Mateo County,1787,1136000
97530,94043,Mountain View,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1842,1135800
96017,90036,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,394,1134100
